url,title,classified_method,tied_methods,confidence,method_certainty,article_relevance_score,models_agreeing_high,which_models_high
https://www.theguardian.com/us-news/2020/jul/22/pfizer-coronavirus-covid-vaccine-us-deal,US agrees to pay Pfizer $2bn for Covid-19 vaccine doses by end of year,method_rct,"[""method_rct""]",0.3688940734530408,MEDIUM,0.2156357095102307,3,"[""m2new"", ""m4"", ""m5""]"
https://www.theguardian.com/society/2021/feb/04/oxford-trial-to-test-efficacy-of-mix-of-covid-vaccines-for-individuals,Covid: Oxford trial to test efficacy of mix of vaccines for individuals,method_rct,"[""method_rct""]",0.36054074981854783,MEDIUM,0.47260605120088106,5,"[""m1"", ""m2old"", ""m3"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2021/jul/18/uk-trial-aims-find-hidden-lung-damage-caused-long-covid,UK trial aims to find hidden lung damage caused by long Covid,method_rct,"[""method_rct""]",0.24428638184193313,LOW,0.291293632948728,3,"[""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2021/mar/24/covid-trial-infecting-healthy-volunteers-needs-full-transparency-say-campaigners,"Covid trial infecting healthy volunteers needs full transparency, say campaigners",method_rct,"[""method_rct""]",0.2956353185395943,LOW,0.2181975409258817,3,"[""m3"", ""m5"", ""m6""]"
https://www.theguardian.com/world/2021/feb/13/oxford-astrazeneca-covid-vaccine-to-be-tested-on-children-as-young-as-six,Children as young as six to be tested for Oxford/AstraZeneca vaccine efficacy,method_rct,"[""method_rct""]",0.29582863749759636,LOW,0.3312681246955875,3,"[""m3"", ""m5"", ""m6""]"
https://www.theguardian.com/society/2021/feb/02/sputnik-v-vaccine-has-916-efficacy-against-symptomatic-covid-russian-trial-suggests,"Sputnik V vaccine has 91.6% efficacy against symptomatic Covid, Russian trial suggests",method_rct,"[""method_rct""]",0.38270840126166716,MEDIUM,0.4042429500186681,4,"[""m1"", ""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/business/2019/sep/23/cannabis-based-drug-for-childhood-epilepsy-epidyolex-approved-for-use-in-uk,Cannabis-based drug for childhood epilepsy approved for use in UK,method_rct,"[""method_rct""]",0.2635258296027675,LOW,0.36027543130208,3,"[""m2old"", ""m2new"", ""m5""]"
https://www.theguardian.com/world/2020/apr/28/australian-hydroxychloroquine-trials-continue-despite-studies-showing-no-benefit-to-coronavirus-patients,Australian hydroxychloroquine trials continue despite studies showing no benefit to coronavirus patients,method_rct,"[""method_rct""]",0.5197394870453436,HIGH,0.2905331707395157,4,"[""m1"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/australia-news/2020/mar/24/decades-old-drug-in-two-australian-trials-related-to-covid-19-but-experts-urge-caution,Decades-old drug in two Australian trials related to Covid-19 but experts urge caution,method_rct,"[""method_rct""]",0.32870902722598705,MEDIUM,0.23502636653868633,4,"[""m1"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/science/2020/mar/19/prospects-treatment-coronavirus-drugs-vaccines,What are the prospects for a Covid-19 treatment?,method_rct,"[""method_rct""]",0.3385778216534747,MEDIUM,0.2673272360710918,4,"[""m1"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/society/2019/oct/22/radical-light-and-sound-wave-therapy-could-slow-alzheimers,Radical light and sound wave therapy could slow Alzheimer's,method_rct,"[""method_rct""]",0.33956285838014927,MEDIUM,0.3518152919569417,4,"[""m1"", ""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/society/2017/nov/16/thousands-to-benefit-as-breakthrough-breast-cancer-drugs-approved-for-nhs-use-palbociclib-ribociclib,Thousands to benefit as 'breakthrough' breast cancer drugs approved for NHS use,method_rct,"[""method_rct""]",0.22956806381965617,LOW,0.37221049926256516,3,"[""m2old"", ""m2new"", ""m5""]"
https://www.theguardian.com/australia-news/2016/aug/16/mental-health-large-scale-ketamine-trial-to-investigate-effect-on-depression,First 'gold-standard' trial of ketamine's anti-depressant effects launched,method_rct,"[""method_rct""]",0.4444045412913026,MEDIUM,0.4274573817485435,5,"[""m1"", ""m2old"", ""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/science/2018/jul/06/top-oncologist-to-study-effect-of-diet-on-cancer-drugs,Top oncologist to study effect of diet on cancer drugs,method_rct,"[""method_rct""]",0.38058053222110655,MEDIUM,0.24946911970310226,3,"[""m4"", ""m5"", ""m6""]"
https://www.theguardian.com/global-development/2017/mar/22/rotavirus-vaccine-could-save-lives-of-almost-500000-children-a-year,"Rotavirus vaccine could save lives of almost 500,000 children a year",method_rct,"[""method_rct""]",0.30832073322135817,MEDIUM,0.4021296405835171,4,"[""m1"", ""m2old"", ""m5"", ""m6""]"
https://www.theguardian.com/science/2016/dec/01/fda-mdma-ptsd-final-trials,MDMA approved for final trials to treat PTSD before possible legalization,method_rct,"[""method_rct""]",0.29668749463523086,LOW,0.45033819536466685,4,"[""m1"", ""m2old"", ""m5"", ""m6""]"
