K,c_v_mean,c_v_std,c_npmi_mean,c_npmi_std,stability_mean,stability_median,stability_min,stability_max,perplexity
5,0.4521,0.0258,0.0309,0.0082,0.3902,0.424,0.2332,0.5325,308.7
8,0.4524,0.0208,0.0287,0.0069,0.3124,0.2794,0.2319,0.4736,339.9
10,0.4623,0.0083,0.0313,0.0029,0.3234,0.3395,0.2014,0.4086,357.9
12,0.4544,0.0147,0.0284,0.005,0.263,0.268,0.179,0.3663,381.0
15,0.4661,0.0172,0.0275,0.0061,0.2631,0.2703,0.2181,0.2933,413.0
18,0.4551,0.0079,0.0244,0.0044,0.238,0.2415,0.2172,0.2486,448.2
20,0.463,0.0119,0.0281,0.0039,0.2431,0.2429,0.1965,0.2836,473.7
25,0.4631,0.0197,0.0266,0.0092,0.2232,0.2187,0.1996,0.2764,535.6
30,0.4632,0.0141,0.0243,0.0057,0.2224,0.2272,0.1827,0.2507,608.1
