min_df,max_df,vocab_size,c_v_mean,c_v_std,stability,train_time_s
3,0.3,13864,0.4855,0.006,0.2046,141.0
3,0.5,13939,0.456,0.0254,0.2191,164.0
3,0.7,13952,0.4221,0.0158,0.2247,169.0
5,0.3,9978,0.4862,0.0199,0.2381,180.0
5,0.5,10053,0.4642,0.0254,0.2194,258.0
5,0.7,10066,0.4281,0.0058,0.2361,185.0
10,0.3,6304,0.5249,0.0145,0.2446,203.0
10,0.5,6379,0.4883,0.0242,0.2483,201.0
10,0.7,6392,0.4468,0.0041,0.238,213.0
15,0.3,4806,0.5161,0.022,0.187,164.0
15,0.5,4881,0.4584,0.0095,0.2507,212.0
15,0.7,4894,0.4605,0.0195,0.2451,186.0
